filter_name,mappings
csw-fmc-datacenter,172.20.0.140/32
csw-fmc-datacenter,10.129.2.1/23
csw-fmc-datacenter,172.26.0.245/32
csw-fmc-datacenter,10.67.0.170/32
csw-fmc-datacenter,172.26.0.178/32
csw-fmc-datacenter,172.20.0.60/24
csw-fmc-datacenter,192.168.4.89/32
csw-fmc-datacenter,172.26.0.144/32
csw-fmc-datacenter,172.26.0.115/32
csw-fmc-datacenter,172.20.0.185/32
csw-fmc-datacenter,192.168.1.13/24
csw-fmc-datacenter,10.0.0.1/32
csw-fmc-datacenter,192.168.3.100/32
csw-fmc-datacenter,172.26.0.187/32
csw-fmc-datacenter,192.201.0.5/24
csw-fmc-datacenter,192.168.10.49/24
csw-fmc-datacenter,192.168.1.14/24
csw-fmc-datacenter,172.26.0.1/32
csw-fmc-datacenter,172.20.0.7/32
csw-fmc-datacenter,10.67.0.175/24
csw-fmc-datacenter,10.67.0.10/32
csw-fmc-datacenter,172.26.0.194/32
csw-fmc-datacenter,172.29.0.1/32
csw-fmc-datacenter,172.20.0.10/32
csw-fmc-datacenter,10.67.2.2/32
csw-fmc-datacenter,172.26.0.179/32
csw-fmc-datacenter,192.168.1.8/24
csw-fmc-datacenter,10.67.0.201/32
csw-fmc-datacenter,172.29.0.17/32
csw-fmc-datacenter,10.67.1.0/24
csw-fmc-datacenter,172.26.0.0/24
csw-fmc-datacenter,172.20.0.0/24
csw-fmc-datacenter,172.26.0.190/32
csw-fmc-datacenter,172.26.0.104/32
csw-fmc-datacenter,10.67.0.29/32
csw-fmc-datacenter,192.168.1.103/24
csw-fmc-datacenter,192.168.1.101/24
csw-fmc-datacenter,192.168.1.53/24
csw-fmc-datacenter,192.168.1.52/24
csw-fmc-datacenter,192.168.2.51/32
csw-fmc-datacenter,172.29.152.0/32
csw-fmc-datacenter,172.26.0.172/32
csw-fmc-datacenter,10.67.1.2/32
csw-fmc-datacenter,172.26.0.204/32
csw-fmc-datacenter,172.26.0.166/32
csw-fmc-datacenter,10.67.1.37/32
csw-fmc-datacenter,10.67.0.156/24
csw-fmc-datacenter,10.67.1.34/24
csw-fmc-datacenter,172.20.0.52/24
csw-fmc-datacenter,172.26.0.253/32
csw-fmc-datacenter,10.67.0.178/32
csw-fmc-datacenter,10.67.0.13/32
csw-fmc-datacenter,172.26.0.224/32
csw-fmc-datacenter,192.168.10.150/24
csw-fmc-datacenter,172.26.0.38/32
csw-fmc-datacenter,10.67.1.241/32
csw-fmc-datacenter,192.168.10.5/32
csw-fmc-datacenter,192.168.10.15/24
csw-fmc-datacenter,172.29.152.196/32
csw-fmc-datacenter,10.67.0.191/24
csw-fmc-datacenter,172.26.0.66/32
csw-fmc-datacenter,192.168.2.2/32
csw-fmc-datacenter,10.67.0.173/32
csw-fmc-datacenter,172.26.0.162/32
csw-fmc-datacenter,172.26.0.233/32
csw-fmc-datacenter,10.67.3.1/32
csw-fmc-datacenter,192.168.1.20/24
csw-fmc-datacenter,10.67.0.12/32
csw-fmc-datacenter,172.26.0.223/32
csw-fmc-datacenter,172.17.0.1/16
csw-fmc-datacenter,172.26.0.219/32
csw-fmc-datacenter,172.26.0.112/32
csw-fmc-datacenter,10.67.0.15/32
csw-fmc-datacenter,192.168.3.13/24
csw-fmc-datacenter,192.168.1.10/24
